city_key2,city,state,population,demand_weight,latitude,longitude
berlin,Berlin,Berlin,3782202,0.08748316466931048,52.5167,13.3833
hamburg,Hamburg,Hamburg,1910160,0.044182421199272306,53.55,10.0
stuttgart,Stuttgart,Baden-Württemberg,633484,0.014652624340892813,48.7761,9.1775
dusseldorf,Düsseldorf,Nordrhein-Westfalen,631217,0.01460018813195809,51.2311,6.7724
leipzig,Leipzig,Sachsen,619879,0.014337937696624219,51.35,12.3833
dortmund,Dortmund,Nordrhein-Westfalen,595471,0.013773375284767705,51.5139,7.4653
essen,Essen,Nordrhein-Westfalen,586608,0.013568372144146421,51.4508,7.0131
bremen,Bremen,Bremen,577026,0.01334673837528338,53.1153,8.7975
dresden,Dresden,Sachsen,566222,0.013096839477475376,51.0493,13.7384
hannover,Hannover,Niedersachsen,548186,0.012679662828006182,52.3744,9.7386
duisburg,Duisburg,Nordrhein-Westfalen,503707,0.011650853768805678,51.4322,6.7611
bochum,Bochum,Nordrhein-Westfalen,366385,0.00847456568617047,51.4833,7.2167
wuppertal,Wuppertal,Nordrhein-Westfalen,358938,0.008302314937190813,51.2667,7.1833
bielefeld,Bielefeld,Nordrhein-Westfalen,338410,0.00782749777926757,52.0167,8.5333
bonn,Bonn,Nordrhein-Westfalen,335789,0.00776687347242244,50.7339,7.0997
munster,Münster,Nordrhein-Westfalen,322904,0.007468840586615689,51.9625,7.6256
mannheim,Mannheim,Baden-Württemberg,316877,0.007329434750158003,49.4878,8.4661
karlsruhe,Karlsruhe,Baden-Württemberg,309964,0.0071695355387042135,49.0167,8.4
augsburg,Augsburg,Bayern,303150,0.007011926219038928,48.3717,10.8983
wiesbaden,Wiesbaden,Hessen,285522,0.006604186699364779,50.0825,8.24
monchengladbach,Mönchengladbach,Nordrhein-Westfalen,268943,0.006220710780560734,51.2,6.4333
gelsenkirchen,Gelsenkirchen,Nordrhein-Westfalen,265885,0.006149978567538068,51.5167,7.1
aachen,Aachen,Nordrhein-Westfalen,252769,0.005846602600891476,50.7762,6.0838
braunschweig,Braunschweig,Niedersachsen,252066,0.005830342056171092,52.2692,10.5211
chemnitz,Chemnitz,Sachsen,250681,0.005798306701352128,50.8333,12.9167
kiel,Kiel,Schleswig-Holstein,248873,0.005756487263436831,54.3233,10.1394
halle,Halle (Saale),Sachsen-Anhalt,242172,0.005601491658641251,51.4828,11.9697
magdeburg,Magdeburg,Sachsen-Anhalt,240114,0.0055538896657044805,52.1278,11.6292
freiburg im bei reisgau,Freiburg im Breisgau,Baden-Württemberg,237244,0.005487505934057963,47.9947,7.8497
krefeld,Krefeld,Nordrhein-Westfalen,228550,0.005286411800631196,51.3333,6.5667
mainz,Mainz,Rheinland-Pfalz,222889,0.005155471624724947,50.0,8.2711
lubeck,Lübeck,Schleswig-Holstein,219044,0.005066535928494683,53.8697,10.6864
erfurt,Erfurt,Thüringen,215675,0.004988610217025304,50.9787,11.0328
oberhausen,Oberhausen,Nordrhein-Westfalen,211099,0.0048827663299122505,51.4699,6.8514
rostock,Rostock,Mecklenburg-Vorpommern,210795,0.004875734743006139,54.0833,12.1333
kassel,Kassel,Hessen,204687,0.004734455358721495,51.3158,9.4979
hagen,Hagen,Nordrhein-Westfalen,190490,0.00440607562416205,51.3594,7.475
potsdam,Potsdam,Brandenburg,187119,0.004328103652252499,52.4,13.0667
saarbrucken,Saarbrücken,Saarland,183509,0.00424460355774242,49.2333,7.0
hamm,Hamm,Nordrhein-Westfalen,180761,0.004181041712946382,51.6667,7.8167
oldenburg,Oldenburg (Oldenburg),Niedersachsen,174629,0.004039207203379676,53.1439,8.2139
osnabruck,Osnabrück,Niedersachsen,166960,0.0038618215455409515,52.2789,8.0431
leverkusen,Leverkusen,Nordrhein-Westfalen,166414,0.003849192445374053,51.0333,6.9833
darmstadt,Darmstadt,Hessen,164792,0.003811675228394732,49.8667,8.65
