city_key2,city,state,population,latitude,longitude,demand_weight
berlin,Berlin,Berlin,3782202,52.5167,13.3833,0.08257197394026213
hamburg,Hamburg,Hamburg,1910160,53.55,10.0,0.041702077716031856
munchen,München,Bayern,1510378,48.1372,11.5755,0.032974149148021506
koln,Köln,Nordrhein-Westfalen,1087353,50.9422,6.9578,0.023738785918855164
frankfurt am main,Frankfurt am Main,Hessen,775790,50.1136,8.6797,0.016936829831700147
stuttgart,Stuttgart,Baden-Württemberg,633484,48.7761,9.1775,0.013830045127037904
dusseldorf,Düsseldorf,Nordrhein-Westfalen,631217,51.2311,6.7724,0.013780552618461532
leipzig,Leipzig,Sachsen,619879,51.35,12.3833,0.013533024580420546
dortmund,Dortmund,Nordrhein-Westfalen,595471,51.5139,7.4653,0.01300015596580559
essen,Essen,Nordrhein-Westfalen,586608,51.4508,7.0131,0.012806661434040087
bremen,Bremen,Bremen,577026,53.1153,8.7975,0.012597469895805062
dresden,Dresden,Sachsen,566222,51.0493,13.7384,0.012361599996087757
hannover,Hannover,Niedersachsen,548186,52.3744,9.7386,0.011967843099447501
nurnberg,Nürnberg,Bayern,526091,49.4528,11.0778,0.01148547125251545
duisburg,Duisburg,Nordrhein-Westfalen,503707,51.4322,6.7611,0.010996790038588002
bochum,Bochum,Nordrhein-Westfalen,366385,51.4833,7.2167,0.007998814624946775
wuppertal,Wuppertal,Nordrhein-Westfalen,358938,51.2667,7.1833,0.007836233808286762
bielefeld,Bielefeld,Nordrhein-Westfalen,338410,52.0167,8.5333,0.0073880722661359985
bonn,Bonn,Nordrhein-Westfalen,335789,50.7339,7.0997,0.0073308513287832534
munster,Münster,Nordrhein-Westfalen,322904,51.9625,7.6256,0.007049549620355127
mannheim,Mannheim,Baden-Württemberg,316877,49.4878,8.4661,0.006917969845679433
karlsruhe,Karlsruhe,Baden-Württemberg,309964,49.0167,8.4,0.0067670471673431
augsburg,Augsburg,Bayern,303150,48.3717,10.8983,0.006618285829257788
wiesbaden,Wiesbaden,Hessen,285522,50.0825,8.24,0.006233436274258097
monchengladbach,Mönchengladbach,Nordrhein-Westfalen,268943,51.2,6.4333,0.005871488193231329
gelsenkirchen,Gelsenkirchen,Nordrhein-Westfalen,265885,51.5167,7.1,0.005804726794366508
aachen,Aachen,Nordrhein-Westfalen,252769,50.7762,6.0838,0.005518381958686003
braunschweig,Braunschweig,Niedersachsen,252066,52.2692,10.5211,0.005503034259731795
chemnitz,Chemnitz,Sachsen,250681,50.8333,12.9167,0.005472797327937231
kiel,Kiel,Schleswig-Holstein,248873,54.3233,10.1394,0.0054333255787064934
halle,Halle (Saale),Sachsen-Anhalt,242172,51.4828,11.9697,0.005287031224948102
magdeburg,Magdeburg,Sachsen-Anhalt,240114,52.1278,11.6292,0.005242101545790547
freiburg im breisgau,Freiburg im Breisgau,Baden-Württemberg,237244,47.9947,7.8497,0.005179444510230693
krefeld,Krefeld,Nordrhein-Westfalen,228550,51.3333,6.5667,0.00498963953909572
mainz,Mainz,Rheinland-Pfalz,222889,50.0,8.2711,0.004866050173832885
lubeck,Lübeck,Schleswig-Holstein,219044,53.8697,10.6864,0.004782107211558446
erfurt,Erfurt,Thüringen,215675,50.9787,11.0328,0.004708556147864666
oberhausen,Oberhausen,Nordrhein-Westfalen,211099,51.4699,6.8514,0.004608654198484215
rostock,Rostock,Mecklenburg-Vorpommern,210795,54.0833,12.1333,0.004602017355693206
kassel,Kassel,Hessen,204687,51.3158,9.4979,0.004468669211721224
hagen,Hagen,Nordrhein-Westfalen,190490,51.3594,7.475,0.004158724287037163
potsdam,Potsdam,Brandenburg,187119,52.4,13.0667,0.0040851295599039685
saarbrucken,Saarbrücken,Saarland,183509,49.2333,7.0,0.004006317051760737
hamm,Hamm,Nordrhein-Westfalen,180761,51.6667,7.8167,0.003946323486005169
oldenburg,Oldenburg (Oldenburg),Niedersachsen,174629,53.1439,8.2139,0.003812451380760212
osnabruck,Osnabrück,Niedersachsen,166960,52.2789,8.0431,0.0036450239223251866
leverkusen,Leverkusen,Nordrhein-Westfalen,166414,51.0333,6.9833,0.003633103803365019
darmstadt,Darmstadt,Hessen,164792,49.8667,8.65,0.003597692753999833
heidelberg,Heidelberg,Baden-Württemberg,162960,49.4122,8.71,0.003557697043496121
solingen,Solingen,Nordrhein-Westfalen,161545,51.1667,7.0833,0.003526805160110339
regensburg,Regensburg,Bayern,159465,49.0167,12.0833,0.0034813951831192255
herne,Herne,Nordrhein-Westfalen,157896,51.5426,7.219,0.0034471412148985242
paderborn,Paderborn,Nordrhein-Westfalen,155749,51.7167,8.7667,0.0034002685126870236
neuss,Neuss,Nordrhein-Westfalen,155163,51.2003,6.6939,0.0033874751249385656
ingolstadt,Ingolstadt,Bayern,142308,48.7636,11.4261,0.003106828368101657
furth,Fürth,Bayern,132032,49.4783,10.9903,0.002882485616389788
heilbronn,Heilbronn,Baden-Württemberg,130093,49.1404,9.218,0.0028401539118773985
ulm,Ulm,Baden-Württemberg,129942,48.3984,9.9916,0.0028368573222016013
pforzheim,Pforzheim,Baden-Württemberg,128992,48.895,8.705,0.0028161171884796984
wurzburg,Würzburg,Bayern,128246,49.7944,9.9294,0.0027998307255780778
wolfsburg,Wolfsburg,Niedersachsen,127256,52.4231,10.7872,0.002778217323067884
gottingen,Göttingen,Niedersachsen,120261,51.5339,9.9356,0.002625504443715556
bottrop,Bottrop,Nordrhein-Westfalen,118705,51.5232,6.9253,0.00259153428785105
reutlingen,Reutlingen,Baden-Württemberg,118528,48.4833,9.2167,0.0025876700734628636
erlangen,Erlangen,Bayern,117806,49.5964,11.0044,0.002571907571834217
koblenz,Koblenz,Rheinland-Pfalz,115298,50.3597,7.5978,0.0025171536188083933
bremerhaven,Bremerhaven,Bremen,114677,53.55,8.5833,0.002503596120870181
remscheid,Remscheid,Nordrhein-Westfalen,112970,51.1906,7.2247,0.002466329375329877
trier,Trier,Rheinland-Pfalz,112737,49.7567,6.6414,0.0024612425846380842
bergisch gladbach,Bergisch Gladbach,Nordrhein-Westfalen,112660,50.9917,7.1367,0.0024595615422206246
recklinghausen,Recklinghausen,Nordrhein-Westfalen,111693,51.6167,7.2,0.002438450269263698
jena,Jena,Thüringen,110791,50.9272,11.5864,0.002418758058087744
moers,Moers,Nordrhein-Westfalen,105606,51.4592,6.6197,0.002305560591405568
salzgitter,Salzgitter,Niedersachsen,105039,52.1503,10.3593,0.002293182006331548
hanau,Hanau,Hessen,103184,50.1328,8.9169,0.002252684166274569
gutersloh,Gütersloh,Nordrhein-Westfalen,102464,51.9,8.3833,0.002236965328085337
hildesheim,Hildesheim,Niedersachsen,102325,52.15,9.95,0.002233930719046027
siegen,Siegen,Nordrhein-Westfalen,102114,50.8756,8.0167,0.002229324226187794
kaiserslautern,Kaiserslautern,Rheinland-Pfalz,101486,49.4447,7.7689,0.002215613906211631
cottbus,Cottbus/Chóśebuz,Brandenburg,100010,51.7606,14.3342,0.0021833902879237056
schwerin,Schwerin,Mecklenburg-Vorpommern,98733,53.6333,11.4167,0.0021555111818575266
witten,Witten,Nordrhein-Westfalen,95724,51.4333,7.3333,0.002089819537258362
giessen,Gießen,Hessen,94996,50.5833,8.6667,0.0020739260453114723
ludwigsburg,Ludwigsburg,Baden-Württemberg,94859,48.8975,9.1919,0.002070935099711577
gera,Gera,Thüringen,94847,50.8782,12.0824,0.0020706731190750895
