state,city,city_designation,area_km2,postal_code,population_total,male,female,per_km2
Berlin,Berlin,,891.12,10178,3782202,1860115,1922087,4 244
Hamburg,Hamburg,Freie und Hansestadt,755.09,20038,1910160,936740,973420,2 530
Bayern,München,Landeshauptstadt,310.7,80313,1510378,734925,775453,4 861
Nordrhein-Westfalen,Köln,,405.02,50667,1087353,527728,559625,2 685
Hessen,Frankfurt am Main,,248.31,60311,775790,382226,393564,3 124
Baden-Württemberg,Stuttgart,Landeshauptstadt,207.33,70173,633484,316030,317454,3 055
Nordrhein-Westfalen,Düsseldorf,,217.41,40213,631217,304616,326601,2 903
Sachsen,Leipzig,,297.8,04109,619879,305443,314436,2 082
Nordrhein-Westfalen,Dortmund,,280.71,44135,595471,292178,303293,2 121
Nordrhein-Westfalen,Essen,,210.34,45121,586608,285411,301197,2 789
Bremen,Bremen,,318.2,28195,577026,285270,291756,1 813
Sachsen,Dresden,,328.48,01067,566222,281215,285007,1 724
Niedersachsen,Hannover,Landeshauptstadt,204.3,30159,548186,268214,279972,2 683
Bayern,Nürnberg,,186.44,90403,526091,257320,268771,2 822
Nordrhein-Westfalen,Duisburg,,232.84,47051,503707,249120,254587,2 163
Nordrhein-Westfalen,Bochum,,145.66,44787,366385,178896,187489,2 515
Nordrhein-Westfalen,Wuppertal,,168.39,42275,358938,176056,182882,2 132
Nordrhein-Westfalen,Bielefeld,,258.83,33602,338410,163288,175122,1 307
Nordrhein-Westfalen,Bonn,,141.06,53111,335789,160546,175243,2 380
Nordrhein-Westfalen,Münster,,303.28,48143,322904,155052,167852,1 065
Baden-Württemberg,Mannheim,Universitätsstadt,144.97,68159,316877,158281,158596,2 186
Baden-Württemberg,Karlsruhe,,173.42,76133,309964,158520,151444,1 787
Bayern,Augsburg,,146.85,86150,303150,149531,153619,2 064
Hessen,Wiesbaden,Landeshauptstadt,203.87,65183,285522,136598,148924,1 401
Nordrhein-Westfalen,Mönchengladbach,,170.47,41061,268943,133625,135318,1 578
Nordrhein-Westfalen,Gelsenkirchen,,104.94,45879,265885,132249,133636,2 534
Nordrhein-Westfalen,Aachen,,160.85,52058,252769,132027,120742,1 571
Niedersachsen,Braunschweig,,192.7,38100,252066,124898,127168,1 308
Sachsen,Chemnitz,,221.03,09111,250681,123838,126843,1 134
Schleswig-Holstein,Kiel,Landeshauptstadt,118.65,24103,248873,120699,128174,2 098
Sachsen-Anhalt,Halle (Saale),,135.56,06108,242172,117365,124807,1 786
Sachsen-Anhalt,Magdeburg,Landeshauptstadt,201.68,39104,240114,118654,121460,1 191
Baden-Württemberg,Freiburg im Breisgau,,153.04,79098,237244,112660,124584,1 550
Nordrhein-Westfalen,Krefeld,,137.77,47798,228550,111419,117131,1 659
Rheinland-Pfalz,Mainz,,97.73,55116,222889,108873,114016,2 281
Schleswig-Holstein,Lübeck,Hansestadt,214.19,23539,219044,105259,113785,1 023
Thüringen,Erfurt,,269.91,99084,215675,104791,110884, 799
Nordrhein-Westfalen,Oberhausen,,77.09,46045,211099,103059,108040,2 738
Mecklenburg-Vorpommern,Rostock,Hanse- und Universitätsstadt,181.36,18055,210795,103349,107446,1 162
Hessen,Kassel,documenta-Stadt,106.79,34117,204687,100203,104484,1 917
Nordrhein-Westfalen,Hagen,Stadt der FernUniversität,160.45,58095,190490,93469,97021,1 187
Brandenburg,Potsdam,,188.24,14469,187119,90107,97012, 994
Saarland,Saarbrücken,Landeshauptstadt,167.52,66111,183509,91475,92034,1 095
Nordrhein-Westfalen,Hamm,,226.66,59065,180761,89286,91475, 797
Rheinland-Pfalz,Ludwigshafen am Rhein,,77.43,67059,176110,88552,87558,2 274
Niedersachsen,Oldenburg (Oldenburg),,103.09,26105,174629,83608,91021,1 694
Nordrhein-Westfalen,Mülheim an der Ruhr,,91.28,45468,173255,83637,89618,1 898
Niedersachsen,Osnabrück,,119.8,49074,166960,80585,86375,1 394
Nordrhein-Westfalen,Leverkusen,,78.87,51373,166414,81121,85293,2 110
Hessen,Darmstadt,Wissenschaftsstadt,122.07,64283,164792,84206,80586,1 350
Baden-Württemberg,Heidelberg,,108.83,69117,162960,77929,85031,1 497
Nordrhein-Westfalen,Solingen,Klingenstadt,89.54,42651,161545,78754,82791,1 804
Bayern,Regensburg,,80.86,93019,159465,78024,81441,1 972
Nordrhein-Westfalen,Herne,,51.42,44623,157896,77401,80495,3 071
Nordrhein-Westfalen,Paderborn,,179.59,33104,155749,77843,77906, 867
Nordrhein-Westfalen,Neuss,,99.52,41460,155163,75336,79827,1 559
Bayern,Ingolstadt,,133.35,85047,142308,72076,70232,1 067
Hessen,Offenbach am Main,,44.88,63065,135490,67279,68211,3 019
Bayern,Fürth,,63.35,90744,132032,64793,67239,2 084
Baden-Württemberg,Heilbronn,Universitätsstadt,99.89,74072,130093,65794,64299,1 302
Baden-Württemberg,Ulm,Universitätsstadt,118.68,89073,129942,64384,65558,1 095
Baden-Württemberg,Pforzheim,,97.99,75175,128992,63717,65275,1 316
Bayern,Würzburg,,87.6,97070,128246,61560,66686,1 464
Niedersachsen,Wolfsburg,,204.62,38440,127256,63352,63904, 622
Niedersachsen,Göttingen,,117.02,37083,120261,58433,61828,1 028
Nordrhein-Westfalen,Bottrop,,100.61,46236,118705,57841,60864,1 180
Baden-Württemberg,Reutlingen,,87.04,72764,118528,58803,59725,1 362
Bayern,Erlangen,,76.96,91051,117806,58694,59112,1 531
Rheinland-Pfalz,Koblenz,,105.25,56068,115298,56682,58616,1 095
Bremen,Bremerhaven,,101.41,27576,114677,56716,57961,1 131
Nordrhein-Westfalen,Remscheid,,74.52,42853,112970,56058,56912,1 516
Rheinland-Pfalz,Trier,,117.06,54290,112737,55783,56954, 963
Nordrhein-Westfalen,Bergisch Gladbach,,83.09,51465,112660,53929,58731,1 356
Nordrhein-Westfalen,Recklinghausen,,66.5,45657,111693,54223,57470,1 680
Thüringen,Jena,,114.77,07743,110791,55060,55731, 965
Nordrhein-Westfalen,Moers,,67.64,47441,105606,51248,54358,1 561
Niedersachsen,Salzgitter,,224.49,38226,105039,52386,52653, 468
Hessen,Hanau,Brüder-Grimm-Stadt,76.28,63450,103184,50927,52257,1 353
Nordrhein-Westfalen,Gütersloh,,112.02,33330,102464,50733,51731, 915
Niedersachsen,Hildesheim,,92.29,31134,102325,48866,53459,1 109
Nordrhein-Westfalen,Siegen,Universitätsstadt,114.69,57072,102114,50110,52004, 890
Rheinland-Pfalz,Kaiserslautern,,139.7,67657,101486,51241,50245, 726
Brandenburg,Cottbus/Chóśebuz,,165.61,03046,100010,48883,51127, 604
Mecklenburg-Vorpommern,Schwerin,Landeshauptstadt,130.52,19053,98733,47339,51394, 756
Baden-Württemberg,Esslingen am Neckar,,46.43,73728,95881,48521,47360,2 065
Nordrhein-Westfalen,Witten,,72.4,58452,95724,46540,49184,1 322
Hessen,Gießen,Universitätsstadt,72.61,35390,94996,46730,48266,1 308
Baden-Württemberg,Ludwigsburg,,43.34,71638,94859,46775,48084,2 189
Thüringen,Gera,,152.18,07545,94847,45922,48925, 623
Baden-Württemberg,Tübingen,Universitätsstadt,108.07,72070,93615,44250,49365, 866
Nordrhein-Westfalen,Düren,,85.01,52349,93323,46221,47102,1 098
Schleswig-Holstein,Flensburg,,56.73,24937,92667,45905,46762,1 633
Nordrhein-Westfalen,Iserlohn,,125.49,58636,92404,45063,47341, 736
Baden-Württemberg,Villingen-Schwenningen,,165.53,78050,89145,43827,45318, 539
Sachsen,Zwickau,Hochschulstadt,102.58,08056,87593,42936,44657, 854
Nordrhein-Westfalen,Ratingen,,88.74,40878,87513,42309,45204, 986
Nordrhein-Westfalen,Lünen,,59.39,44532,87266,42512,44754,1 469
Baden-Württemberg,Konstanz,Universitätsstadt,54.12,78462,85770,40910,44860,1 585
Rheinland-Pfalz,Worms,,108.73,67547,85609,42650,42959, 787
Nordrhein-Westfalen,Marl,,87.76,45772,85001,41621,43380, 969
Nordrhein-Westfalen,Minden,,101.12,32423,83100,40938,42162, 822
Schleswig-Holstein,Norderstedt,,58.1,22846,82719,40260,42459,1 424
Nordrhein-Westfalen,Velbert,,74.9,42551,82462,40423,42039,1 101
Bayern,Bamberg,,54.62,96031,80580,39589,40991,1 475
Schleswig-Holstein,Neumünster,,71.66,24534,80185,39772,40413,1 119
Sachsen-Anhalt,Dessau-Roßlau,,245.78,06844,79686,38528,41158, 324
Nordrhein-Westfalen,Viersen,,91.1,41747,79250,38609,40641, 870
Niedersachsen,Delmenhorst,,62.45,27749,78979,38984,39995,1 265
Nordrhein-Westfalen,Rheine,,145,48431,78220,38599,39621, 539
Hessen,Marburg,Universitätsstadt,123.91,35037,78203,36852,41351, 631
